Attacker: Gao_Zhen_Bo, Target: 24, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.006472495850175619, Loss: -0.9870550036430359, Success Rate: 0.0
Attacker: Gao_Zhen_Bo, Target: 24, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.29297974705696106, Loss: -0.4140405058860779, Success Rate: 0.5581395626068115
Attacker: Gao_Zhen_Bo, Target: 24, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.01999250240623951, Loss: -0.9600149989128113, Success Rate: 0.0
Attacker: Jiang_Cheng_Pu, Target: 5, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.056357454508543015, Loss: -0.8872851133346558, Success Rate: 0.07999999821186066
Attacker: Jiang_Cheng_Pu, Target: 5, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.5169302821159363, Loss: 0.03386056423187256, Success Rate: 0.7199999690055847
Attacker: Jiang_Cheng_Pu, Target: 5, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.053096093237400055, Loss: -0.8938078284263611, Success Rate: 0.03999999910593033
Attacker: Jiang_Cheng_Pu, Target: 15, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.015343187376856804, Loss: -0.9693136215209961, Success Rate: 0.0
Attacker: Jiang_Cheng_Pu, Target: 15, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.5117590427398682, Loss: 0.023518085479736328, Success Rate: 0.7400000095367432
Attacker: Jiang_Cheng_Pu, Target: 15, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.005435834173113108, Loss: -0.9891283512115479, Success Rate: 0.0
Attacker: Jiang_Cheng_Pu, Target: 25, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.27108290791511536, Loss: -0.4578341841697693, Success Rate: 0.3999999761581421
Attacker: Jiang_Cheng_Pu, Target: 25, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.3342779874801636, Loss: -0.33144402503967285, Success Rate: 0.5199999809265137
Attacker: Jiang_Cheng_Pu, Target: 25, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.1917458325624466, Loss: -0.6165083646774292, Success Rate: 0.4599999785423279
Attacker: Liu_Hui_Sen, Target: 19, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.0013173853512853384, Loss: -0.9973652362823486, Success Rate: 0.0
Attacker: Liu_Hui_Sen, Target: 19, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.704007089138031, Loss: 0.408014178276062, Success Rate: 0.8999999761581421
Attacker: Liu_Hui_Sen, Target: 19, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.21472737193107605, Loss: -0.5705452561378479, Success Rate: 0.35999998450279236
Attacker: Liu_Hui_Sen, Target: 27, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.014400491490960121, Loss: -0.9711990356445312, Success Rate: 0.0
Attacker: Liu_Hui_Sen, Target: 27, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.46470847725868225, Loss: -0.0705830454826355, Success Rate: 0.8799999952316284
Attacker: Liu_Hui_Sen, Target: 27, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.10458217561244965, Loss: -0.7908356189727783, Success Rate: 0.14000000059604645
Attacker: Liu_Hui_Sen, Target: 42, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.11508233100175858, Loss: -0.769835352897644, Success Rate: 0.03999999910593033
Attacker: Liu_Hui_Sen, Target: 42, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.37114524841308594, Loss: -0.2577095031738281, Success Rate: 0.8399999737739563
Attacker: Liu_Hui_Sen, Target: 42, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.1412065476179123, Loss: -0.717586874961853, Success Rate: 0.3999999761581421
Attacker: Sun_Run_Geng, Target: 23, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.058784790337085724, Loss: -0.8824304342269897, Success Rate: 0.09999999403953552
Attacker: Sun_Run_Geng, Target: 23, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.37858229875564575, Loss: -0.2428354024887085, Success Rate: 0.6800000071525574
